id,user_id,url,domain,risk_score,status,reasons,scanned_at
1,2,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-10 23:07:14"
2,1,https://unique-district.com/,unique-district.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-10 23:48:09"
3,1,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-10 23:50:24"
4,2,http://faceb00k-security-alert.com/login/verify(shouldbedangerous),faceb00k-security-alert.com,47,Suspicious,"[""URL does not use HTTPS (+20)"",""Suspicious keyword(s): login, verify (+15)"",""Domain age appears recent based on placeholder analysis (+12)""]","2026-03-11 00:43:23"
5,2,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-11 02:35:18"
6,2,http://faceb00k-security-alert.com/login/verify(shouldbedangerous),faceb00k-security-alert.com,47,Suspicious,"[""URL does not use HTTPS (+20)"",""Suspicious keyword(s): login, verify (+15)"",""Domain age appears recent based on placeholder analysis (+12)""]","2026-03-11 02:35:29"
7,2,https://github.com@evil-login-check.top/reset,evil-login-check.top,35,Suspicious,"[""Suspicious keyword(s): login, reset (+15)"",""URL contains @ symbol (+20)""]","2026-03-11 02:35:42"
8,2,http://s3.dualstack.us-east-2.amazonaws.com/blob-core-windows.net-roundcube.com.html/pddbg.html,s3.dualstack.us-east-2.amazonaws.com,69,Dangerous,"[""URL does not use HTTPS (+20)"",""URL is unusually long (+10)"",""Too many subdomains detected (+15)"",""Domain age appears recent based on placeholder analysis (+12)"",""Potential brand impersonation keywords detected (+12)""]","2026-03-11 02:36:17"
9,1,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-11 03:26:04"
10,1,https://github.com@evil-login-check.top/reset,evil-login-check.top,35,Suspicious,"[""Suspicious keyword(s): login, reset (+15)"",""URL contains @ symbol (+20)""]","2026-03-11 03:49:25"
11,1,https://roblox.com.ly/games/131623223084840/Escape-Tsunami-For-Brainrots?privateServerLinkCode=38623224917162031858259413335261,roblox.com.ly,22,Suspicious,"[""URL is unusually long (+10)"",""Potential brand impersonation keywords detected (+12)""]","2026-03-11 04:24:46"
12,1,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-11 05:04:42"
13,1,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-11 05:05:12"
14,6,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-11 05:07:12"
15,2,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-11 05:45:48"
16,1,https://rdply.endofinternet.net/H/Re27163509/Step2.php?token=TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTRfNCkgQXBwbGVXZWJLaXQvNjA1LjEuMTUgKEtIVE1MLCBsaWtlIEdlY2tvKTE2NC45Mi4yMTIuMTM2MjAyNjpNYXI6VHVl,rdply.endofinternet.net,10,Safe,"[""URL is unusually long (+10)""]","2026-03-11 05:48:27"
17,1,https://rdply.endofinternet.net/H/Re957402122/Step2.php?token=TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTRfNCkgQXBwbGVXZWJLaXQvNjA1LjEuMTUgKEtIVE1MLCBsaWtlIEdlY2tvKTE2NC45Mi4yMTIuMTM2MjAyNjpNYXI6VHVl,rdply.endofinternet.net,10,Safe,"[""URL is unusually long (+10)""]","2026-03-11 05:48:55"
18,2,https://www.google.com,google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-11 13:26:27"
19,1,https://example.com,example.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-13 04:31:26"
20,1,http://127.0.0.1,127.0.0.1,45,Suspicious,"[""URL does not use HTTPS (+20)"",""URL uses an IP address instead of a domain (+25)""]","2026-03-13 04:32:45"
21,1,scanhttp://127.0.0.1/admin,127.0.0.1,45,Suspicious,"[""URL does not use HTTPS (+20)"",""URL uses an IP address instead of a domain (+25)""]","2026-03-13 04:33:24"
